state_name,2019,2020
Alabama,43288,46179
Alaska,61316,62756
Arizona,48124,52327
Arkansas,44324,47154
California,64919,70647
Colorado,62124,65358
Connecticut,75533,78463
Delaware,54217,56324
District of Columbia,84671,89735
Florida,54560,57292
Georgia,49083,51987
Hawaii,54700,57241
Idaho,45924,49491
Illinois,58438,62139
Indiana,48749,52219
Iowa,50367,53312
Kansas,52876,55974
Kentucky,43875,47525
Louisiana,47668,50809
Maine,50728,54912
Maryland,62313,65685
Massachusetts,73213,78388
Michigan,49142,53388
Minnesota,58543,62240
Mississippi,39445,42716
Missouri,49001,52108
Montana,50289,54106
Nebraska,54182,57421
Nevada,52602,55406
New Hampshire,64747,68542
New Jersey,68438,71505
New Mexico,43530,46760
New York,67366,71577
North Carolina,48741,51900
North Dakota,57110,60864
Ohio,50035,53545
Oklahoma,48646,50518
Oregon,52718,57005
Pennsylvania,56952,60685
Rhode Island,55830,59941
South Carolina,46681,49105
South Dakota,55294,60446
Tennessee,49343,52351
Texas,54076,55601
Utah,48580,52225
Vermont,55442,59296
Virginia,59073,62189
Washington,64189,68350
West Virginia,42951,45240
Wisconsin,52893,55941
Wyoming,64117,65782
